,lang,Group_lan,top_user,pos,neg,neu,comp,user_screen_name,tweet_count,language
0,en,English,realDonaldTrump,0.309,0,0.691,0.7712,frenfer123,1,en
1,en,English,realDonaldTrump,0.083,0.182,0.735,-0.3975,SandyMa92949039,2,en
2,en,English,realDonaldTrump,0,0,1,0,Neverdemagain2,3,en
3,en,English,realDonaldTrump,0,0.087,0.913,-0.25,sam_tennant12,4,en
4,en,English,realDonaldTrump,0,0.117,0.883,-0.3384,PaysonMelissa,5,en
5,en,English,realDonaldTrump,0.1,0,0.9,0.2732,mrrin213,6,en
6,en,English,realDonaldTrump,0.117,0.124,0.759,-0.0516,bearharrumph,7,en
7,en,English,realDonaldTrump,0.125,0.169,0.706,-0.0171,AnnetteMaillet3,8,en
8,en,English,realDonaldTrump,0.306,0,0.694,0.8122,mgtythor,9,en
9,en,English,realDonaldTrump,0,0,1,0,AlexWal1980,10,en
10,en,English,realDonaldTrump,0,0.466,0.534,-0.5413,_Ericccccc,11,en
11,en,English,realDonaldTrump,0,0,1,0,Bluesman57,12,en
12,en,English,realDonaldTrump,0,0.255,0.745,-0.3447,ladamsrib,13,en
13,en,English,realDonaldTrump,0.141,0.239,0.62,-0.5904,JodyC27,14,en
14,en,English,realDonaldTrump,0.562,0,0.438,0.6289,THATjonballard,15,en
15,en,English,realDonaldTrump,0,0,1,0,lturner3108,16,en
16,en,English,realDonaldTrump,0,0,1,0,LaredoAL,17,en
17,en,English,realDonaldTrump,0,0.073,0.927,-0.128,fancyfrog1337,18,en
18,en,English,realDonaldTrump,0,0,1,0,GreatThee,19,en
19,ja,Japanese,realDonaldTrump,0,0,1,0,izunoeigorou,20,ja
20,en,English,realDonaldTrump,0,0,1,0,jusfow,21,en
21,en,English,realDonaldTrump,0,0.219,0.781,-0.7089,spandabelike,22,en
22,en,English,realDonaldTrump,0,0,1,0,BencomoGail,23,en
23,en,English,realDonaldTrump,0,0,1,0,oneHigginsDavid,24,en
24,en,English,realDonaldTrump,0,0.307,0.693,-0.8519,squashzilla,25,en
25,en,English,realDonaldTrump,0,0.505,0.495,-0.9461,kneesee79,26,en
26,en,English,realDonaldTrump,0,0.234,0.766,-0.5994,Studio9Glen,27,en
27,und,Unknown,realDonaldTrump,0,0,1,0,DontMockMyTypos,28,en
28,en,English,realDonaldTrump,0,0,1,0,kastlbend,29,en
29,en,English,realDonaldTrump,0.133,0,0.867,0.3818,myhappylife2020,30,en
30,en,English,realDonaldTrump,0,0,1,0,Stupidosaur,31,en
31,en,English,realDonaldTrump,0.127,0.1,0.772,0.1779,DavidHumanzee,32,en
32,en,English,realDonaldTrump,0.113,0.235,0.652,-0.5507,ktpasa,33,es
33,und,Unknown,realDonaldTrump,0.483,0,0.517,0.4215,Rebashoenfelt1,34,en
34,und,Unknown,realDonaldTrump,0,0,1,0,valkyrie_hanna,35,en
35,en,English,realDonaldTrump,0,0.493,0.507,-0.7067,theresa_brown50,36,en
36,en,English,realDonaldTrump,0.21,0.239,0.55,-0.2263,Trupik127,37,en
37,en,English,realDonaldTrump,0.562,0,0.438,0.6289,dellacurran1,38,en
38,en,English,realDonaldTrump,0.25,0.212,0.538,0.25,freddiechurro13,39,en
39,en,English,realDonaldTrump,0,0.13,0.87,-0.5106,Smartiecats,40,en
40,en,English,realDonaldTrump,0,0.227,0.773,-0.5719,raoul0430,41,en
41,en,English,realDonaldTrump,0.15,0,0.85,0.3182,jitendersoni133,42,en
42,en,English,realDonaldTrump,0,0.139,0.861,-0.5719,kimmy52216977,43,en
43,en,English,realDonaldTrump,0,0,1,0,raylene_resists,44,en
44,und,Unknown,realDonaldTrump,0,0,1,0,thomashourigan1,45,en
45,en,English,realDonaldTrump,0,0.123,0.877,-0.4215,IAMParatiSi,46,en
46,en,English,realDonaldTrump,0,0.139,0.861,-0.5719,PhyllisCowan,47,en
47,en,English,realDonaldTrump,0,0.067,0.933,-0.128,sunbeltengines,48,en
48,en,English,realDonaldTrump,0,0.234,0.766,-0.5994,UnerasedUniv6,49,en
49,en,English,realDonaldTrump,0.127,0.1,0.772,0.1779,schachin,50,en
50,en,English,realDonaldTrump,0.28,0.248,0.472,0.0284,rav1960,51,en
51,en,English,realDonaldTrump,0.145,0.255,0.6,-0.2942,RedVinesRedWine,52,en
52,en,English,realDonaldTrump,0,0.483,0.517,-0.7612,dmacdonald1966,53,en
53,en,English,realDonaldTrump,0,0.326,0.674,-0.6996,5b20be6386164f8,54,en
54,en,English,realDonaldTrump,0.274,0,0.726,0.7506,GDawgForever,55,en
55,en,English,realDonaldTrump,0.167,0,0.833,0.5267,jjfaux82,56,en
56,und,Unknown,realDonaldTrump,0,0,1,0,scholt7,57,en
57,en,English,realDonaldTrump,0,0.181,0.819,-0.4767,philtheswo,58,en
58,en,English,realDonaldTrump,0.083,0.182,0.735,-0.3975,proudveteran63,59,en
59,en,English,realDonaldTrump,0.189,0.139,0.672,0.0516,wilburmeinen,60,en
60,en,English,realDonaldTrump,0.562,0,0.438,0.6289,Jaypeah,61,en
61,en,English,realDonaldTrump,0,0,1,0,NishaNishimoto,62,en
62,en,English,realDonaldTrump,0,0,1,0,Spiritof1773,63,en
63,en,English,realDonaldTrump,0,0.219,0.781,-0.7089,cheetofacts,64,en
64,en,English,realDonaldTrump,0,0.167,0.833,-0.5267,nygye,65,en
65,en,English,realDonaldTrump,0.119,0,0.881,0.431,CharMac50,66,en
66,en,English,realDonaldTrump,0,0.129,0.871,-0.4767,RojelioD,67,en
67,es,Spanish,realDonaldTrump,0,0,1,0,MCarolaNunez,68,es
68,en,English,realDonaldTrump,0,0.118,0.882,-0.3724,t3D45FwOb5kRKwy,69,en
69,en,English,realDonaldTrump,0.116,0,0.884,0.4404,mzzgotti1,70,en
70,en,English,realDonaldTrump,0,0.135,0.865,-0.4824,DontMockMyTypos,71,en
71,en,English,realDonaldTrump,0,0,1,0,bjdrues,72,en
72,en,English,realDonaldTrump,0,0,1,0,Hereand66987608,73,en
